Primer		Frequency	Coverage (wrt taxa with accs)
EUKA_0_14        	 1017 	 0.1664 (990/5948)
SSU_1_0          	 943 	 0.153 (910/5948)
7e079b504409f8c0 	 979 	 0.1527 (908/5948)
bf9d09ec8d7319b  	 978 	 0.1525 (907/5948)
43b77d5c9e536e51 	 949 	 0.1483 (882/5948)
7e881e5117b13717 	 914 	 0.1432 (852/5948)
c52fa96b855bd8e  	 913 	 0.1431 (851/5948)
a50cd1c5eb7b6084 	 913 	 0.1431 (851/5948)
6648bdf8e185bd34 	 908 	 0.1422 (846/5948)
38cb8218dc4e124b 	 908 	 0.1422 (846/5948)
fbf08a73556f17ab 	 897 	 0.1407 (837/5948)
cc4ed82e842b9e78 	 891 	 0.1397 (831/5948)
626fd17660bae78e 	 880 	 0.1384 (823/5948)
ad5d11748a0e9d97 	 878 	 0.138 (821/5948)
f09ceccfbd889159 	 859 	 0.135 (803/5948)
fda1c80063d5903b 	 853 	 0.134 (797/5948)
38658da49f92ac20 	 781 	 0.1227 (730/5948)
10b85a11a5d88c96 	 780 	 0.1226 (729/5948)
eb3d9a342cb72800 	 780 	 0.1226 (729/5948)
39833daac2edd393 	 779 	 0.1224 (728/5948)
2c23928a337092c0 	 779 	 0.1224 (728/5948)
80241299eb97e0d6 	 756 	 0.1194 (710/5948)
b3d1add6af272f27 	 750 	 0.1184 (704/5948)
e54a3c0fa390ef80 	 740 	 0.1163 (692/5948)
fdd1d943a282a99b 	 734 	 0.1153 (686/5948)
aa560f0ba48c8a62 	 736 	 0.1145 (681/5948)
9f4104f22815c0ce 	 732 	 0.114 (678/5948)
c8c1a160a5234a3e 	 731 	 0.1138 (677/5948)
4e132dc64f4e1a58 	 728 	 0.1133 (674/5948)
890cea9994e2108c 	 727 	 0.1131 (673/5948)
ff2ed65b0de198de 	 719 	 0.1118 (665/5948)
fbef0dfce489bc6e 	 716 	 0.1113 (662/5948)
396219082b8446ef 	 714 	 0.111 (660/5948)
f280d6862dd451f4 	 713 	 0.1108 (659/5948)
8ce280c800621673 	 630 	 0.0987 (587/5948)
603fc1f0280ce76b 	 611 	 0.0953 (567/5948)
db47777adf1f59a0 	 610 	 0.0952 (566/5948)
32469f9ba2b49708 	 609 	 0.095 (565/5948)
2750cb8d46bdadaf 	 608 	 0.0948 (564/5948)
70b0f65ce1aa2fe3 	 607 	 0.0947 (563/5948)
EUK14            	 561 	 0.0918 (546/5948)
33c14baf2ac76276 	 557 	 0.0913 (543/5948)
42d42599d11e97d8 	 569 	 0.0894 (532/5948)
bd3c0003337d9cb4 	 557 	 0.0874 (520/5948)
9a85434cc645f001 	 519 	 0.0812 (483/5948)
5ab646cdf17cae07 	 589 	 0.0696 (414/5948)
bc4fec5fc30fe200 	 588 	 0.0694 (413/5948)
7fcca79a01676311 	 588 	 0.0694 (413/5948)
a6775d269f2a6fbb 	 581 	 0.0688 (409/5948)
8623a48ba5315e12 	 538 	 0.0639 (380/5948)
ee88a4383194c0ca 	 537 	 0.0637 (379/5948)
4d0a89ff6bb7c7e8 	 537 	 0.0637 (379/5948)
cde667b591948f4a 	 529 	 0.0629 (374/5948)
nSSU             	 150 	 0.0237 (141/5948)
EUK15_1_0        	 81 	 0.0133 (79/5948)
DIAZ             	 17 	 0.0027 (16/5948)
EUKA_0_6         	 16 	 0.0024 (14/5948)
CV_0_0           	 11 	 0.0018 (11/5948)
EUKA_0_12        	 4 	 0.0007 (4/5948)
SSU_1_1          	 2 	 0.0003 (2/5948)
SSU_0_0          	 4 	 0.0003 (2/5948)
CV_0_4           	 2 	 0.0003 (2/5948)
EUK15_4_3        	 1 	 0.0002 (1/5948)
EUKA_0_15        	 1 	 0.0002 (1/5948)
