Primer		Frequency	Coverage (wrt taxa with accs)
3f32736b9d094915 	 24868 	 0.1732 (22387/129253)
7422d7accd64d5d1 	 24036 	 0.1681 (21723/129253)
ca92b51c0852edec 	 23948 	 0.1675 (21646/129253)
cd4d74bbd5f3bcb8 	 23885 	 0.167 (21585/129253)
83d81d66dcce10d1 	 23880 	 0.167 (21585/129253)
32b799e2eac0859c 	 23829 	 0.1666 (21531/129253)
a9161aae7366c36e 	 23788 	 0.1664 (21514/129253)
d6a6c563cd2255d7 	 23741 	 0.166 (21459/129253)
a4a74b6bdc350db  	 23334 	 0.1618 (20917/129253)
ff1941f1fede0b61 	 23306 	 0.1616 (20893/129253)
ec7712db8195d1c0 	 22807 	 0.1582 (20451/129253)
86adf3021c1ba598 	 22764 	 0.158 (20428/129253)
69379f72bdb39a9  	 22726 	 0.1578 (20395/129253)
371c4882c4afb4a0 	 22700 	 0.1576 (20370/129253)
a6b9bb11c34de5ea 	 22673 	 0.1574 (20350/129253)
5f77b05369a8ab3d 	 22674 	 0.1574 (20348/129253)
184c9baaef0833d1 	 22638 	 0.1572 (20316/129253)
fb27c326e491e358 	 19721 	 0.1373 (17749/129253)
fd0a913c2e4e019e 	 18917 	 0.1324 (17111/129253)
c9f8a0fad7c5b33  	 18889 	 0.1322 (17089/129253)
e9a3557a2ec93791 	 18853 	 0.132 (17057/129253)
b46402f4b3d7359c 	 18754 	 0.1313 (16976/129253)
28e9524c1b914e5a 	 18763 	 0.1313 (16969/129253)
248bd84598b3e2f5 	 18624 	 0.1303 (16848/129253)
35e5fe9841121e3e 	 17931 	 0.1246 (16101/129253)
9645831c775df014 	 17900 	 0.1242 (16057/129253)
d8b35fc207c790a1 	 17878 	 0.1242 (16053/129253)
4739d8eb484c82ed 	 17866 	 0.124 (16027/129253)
ebe7d264baeb86e4 	 17843 	 0.1238 (16006/129253)
d0c52cee1c8e96df 	 17822 	 0.1237 (15990/129253)
9f7041b740f375c7 	 17821 	 0.1237 (15987/129253)
3cc844647d070974 	 17789 	 0.1235 (15958/129253)
adc90cd7832a90bc 	 17718 	 0.123 (15900/129253)
80fa6c4fdbe324d2 	 17689 	 0.1228 (15872/129253)
9d728c9ad812ae22 	 17668 	 0.1227 (15855/129253)
29b3108470f94028 	 16918 	 0.1173 (15160/129253)
e025bf70fc500040 	 16879 	 0.117 (15124/129253)
2d643d775e3e0304 	 16723 	 0.1159 (14977/129253)
b84478fe15fcfd73 	 16695 	 0.1157 (14950/129253)
e482a63651d7da10 	 14120 	 0.0992 (12819/129253)
e48daf39b7111fa9 	 13986 	 0.096 (12413/129253)
fde415fddfe296d1 	 13848 	 0.0951 (12298/129253)
7e079b504409f8c0 	 12139 	 0.0862 (11148/129253)
43b77d5c9e536e51 	 12134 	 0.0862 (11143/129253)
bf9d09ec8d7319b  	 12131 	 0.0862 (11140/129253)
fbf08a73556f17ab 	 12065 	 0.0857 (11081/129253)
cc4ed82e842b9e78 	 12045 	 0.0856 (11061/129253)
e54a3c0fa390ef80 	 11868 	 0.0843 (10890/129253)
8ad95cfe9f97c6da 	 11850 	 0.0841 (10873/129253)
fdd1d943a282a99b 	 11848 	 0.0841 (10870/129253)
SSU_1_0          	 5533 	 0.0407 (5255/129253)
EUK14            	 3892 	 0.0292 (3777/129253)
nSSU             	 1232 	 0.0092 (1190/129253)
EUKA_0_14        	 753 	 0.0056 (720/129253)
EUKA_0_12        	 671 	 0.0051 (654/129253)
EUKA_0_4         	 45 	 0.0003 (44/129253)
EUKA_0_6         	 15 	 0.0001 (15/129253)
SSU_0_0          	 10 	 0.0001 (10/129253)
SSU_1_1          	 4 	 0.0 (4/129253)
CV_0_0           	 5 	 0.0 (4/129253)
EUK15_4_3        	 4 	 0.0 (4/129253)
EUKA_0_15        	 4 	 0.0 (4/129253)
FAD4             	 1 	 0.0 (1/129253)
EUK15_3_2        	 1 	 0.0 (1/129253)
